DOI,"Author, year",biomass (particle size),Type-of-Biomass,Total HSP,"Cellulose, %","Lignin, %","Hemicellulose, %",solvent (concentration),SMILES,Solvent vol. %,Solvent viscosity (mPa.s),S1,S2,S3,S4,S5,S6,Water vol. %,T (oC),time (min),Solid loading (g/mL),acid (given),Catalyst density (g/mL),Catalyst mol-wt (g/mol),pH of catalyst,Catalyst loading (mM),"Delignification,%"
10.1016/j.indcrop.2020.112144,"Meng et al., 2020",Populus trichocarpa deltoides (<1mm) ,Hardwood,24.26581958,45.4,23.3,15.8,ethanol (60% v/v),OCC,60,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40,180,60,13,H2SO4 (1.25% w/w of dry biomass),1.83,98.079,2.75,17,84
10.1016/j.indcrop.2020.112144,"Meng et al., 2020",Populus trichocarpa deltoides (<1mm) ,Hardwood,24.26581958,45.4,23.3,15.8,tetrahydrofuran (50% v/v),C1CCOC1,50,0.46,0,0,7.60295,2.5123,0.4997,0.58545,50,160,15,13,H2SO4 (0.25% w/w),1.83,98.079,2.75,66,85
10.1016/j.indcrop.2020.112144,"Meng et al., 2020",Populus trichocarpa deltoides (<1mm) ,Hardwood,24.26581958,45.4,23.3,15.8,gamma-valerolactone (80% v/v),CC1CCC(=O)O1,80,2.18,0,0.0045,8.82105,2.4786,1.9768,0.30315,20,120,120,13.3,H2SO4 (4.5% w/w of dry biomass),1.83,98.079,2.75,60,52
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,ethanol (65 v/v),OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,64
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,ethanol (85 v/v),OCC,85,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,15,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,64
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol(65 v/v)",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,60
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol(85 v/v)",OCCCCO,85,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,15,170,60,14.29,H2SO4 (15 mM),1.83,98.079,2.75,15,60
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol(85 v/v)",OCCCCO,85,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,15,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,90
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Methanol (65 v/v),CO,65,0.543,0.3199,0.4273,3.45695,1.3634,0.5064,0.69145,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,81.5
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Ethanol (65 v/v),OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,81.6
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Ethanol (85 v/v),OCC,85,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,15,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,76
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,2-Propanol (65 v/v),CC(O)C,65,2.052,0.2163,0.45415,5.55425,3.3829,0.4926,0.6431,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,66.14
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,2-Butanol (65 v/v),CCC(C)O,65,3.1,0.185,0.4152,6.6392,4.2796,0.46375,0.59005,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,62.2
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Ethylene glycol (65 v/v),OCCO,65,16.1,0.3918,0.7536,4.8252,1.80085,1.01895,0.9889,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,91.5
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,2-Propanediol (65 v/v)",CC(O)CO,65,40.4,0.2713,0.73755,6.01905,2.60975,0.99825,0.946,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,93.5
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,3-Propanediol (65 v/v)",OCCCO,65,41.2,0.39145,0.404,6.55735,2.28505,0.83675,0.9381,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,94
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,3-butanediol (65 v/v)",CC(O)CCO,65,98.3,0.3131,0.44445,7.4726,3.3351,0.83805,0.9272,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,93.8
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol (65 v/v)",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,93.7
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Glycerol (65 v/v),OCC(O)CO,65,521.03,0.37055,0.83345,6.22755,2.2685,1.4124,1.05255,35,170,60,14.29,H2SO4 (20 mM),1.83,98.079,2.75,20,17.72
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Methanol (85 v/v),CO,85,0.543,0.3199,0.4273,3.45695,1.3634,0.5064,0.69145,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,77
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Ethanol (65 v/v),OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,76
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Ethanol (85 v/v),OCC,85,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,70.08
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,2-Propanol (85 v/v),CC(O)C,85,2.052,0.2163,0.45415,5.55425,3.3829,0.4926,0.6431,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,50
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,2-Butanol (85 v/v),CCC(C)O,85,3.1,0.185,0.4152,6.6392,4.2796,0.46375,0.59005,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,47
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Ethylene glycol (85 v/v),OCCO,85,16.1,0.3918,0.7536,4.8252,1.80085,1.01895,0.9889,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,93
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,2-Propanediol (85 v/v)",CC(O)CO,85,40.4,0.2713,0.73755,6.01905,2.60975,0.99825,0.946,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,92.4
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,3-Propanediol (85 v/v)",OCCCO,85,41.2,0.39145,0.404,6.55735,2.28505,0.83675,0.9381,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,92.3
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,3-butanediol (85 v/v)",CC(O)CCO,85,98.3,0.3131,0.44445,7.4726,3.3351,0.83805,0.9272,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,93.6
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol (85 v/v)",OCCCCO,85,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,93.5
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol (65 v/v)",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,93.7
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,Glycerol (85 v/v),OCC(O)CO,85,521.03,0.37055,0.83345,6.22755,2.2685,1.4124,1.05255,15,170,60,14.29,H2SO4 (25 mM),1.83,98.079,2.75,25,27
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol (85 v/v)",OCCCCO,85,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,15,170,60,14.29,H2SO4 (30 mM),1.83,98.079,2.75,30,94.1
10.1039/c9gc00596j,"Dong et al., 2019",Eucalyptus chips (<2mm),Hardwood,24.26581958,42,25,21,"1,4-butanediol (85 v/v)",OCCCCO,85,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,15,170,60,14.29,H2SO4 (35 mM),1.83,98.079,2.75,35,94.5
10.1021/jf403717q,"Wen et al, 2013a",Eucalyptus Chips,Hardwood,24.26581958,37.5,32.3,16.2,Ethanol 50% w/w,OCC,59.57,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,40.43,200,60,10,none,0,0,0,0,80
10.1002/jctb.4017,"Wen et al, 2013b",Birch,Hardwood,24.26581958,35,23.4,20.7,Ethanol 60% w/w,OCC,76.83,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,23.17,200,120,10,none,0,0,0,0,71
10.1155/2014/194726,"Wu et al, 2014",Hybrid Poplar,Hardwood,24.26581958,32.14,22.38,16.55,Methanol (80% v/v),CO,80,0.543,0.3199,0.4273,3.45695,1.3634,0.5064,0.69145,20,220,30,5,none,0,0,0,0,45.5
10.1155/2014/194726,"Wu et al, 2014",Hybrid Poplar,Hardwood,24.26581958,32.14,22.38,16.55,Ethanol (80% v/v),OCC,80,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,20,220,30,5,none,0,0,0,0,72.1
10.1155/2014/194726,"Wu et al, 2014",Hybrid Poplar,Hardwood,24.26581958,32.14,22.38,16.55,1-Propanol (80% v/v),CCCO,80,1.74,0.3019,0.42745,5.71765,3.2431,0.5416,0.6233,20,220,30,5,none,0,0,0,0,51.4
10.1155/2014/194726,"Wu et al, 2014",Hybrid Poplar,Hardwood,24.26581958,32.14,22.38,16.55,1-Butanol (80% v/v),OCCCC,80,2.573,0.2418,0.4506,6.9127,4.0763,0.5236,0.6241,20,220,30,5,none,0,0,0,0,5.7
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar,Hardwood,24.26581958,45,22,14,THF:Water 1:1 (v:v),C1CCOC1,50,0.46,0,0,7.60295,2.5123,0.4997,0.58545,50,160,15,4.73,H2SO4 (0.1M),1.83,98.079,2.75,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 4:1 (v:v),C1CCOC1,80,0.46,0,0,7.60295,2.5123,0.4997,0.58545,20,180,20,4.56,H2SO4 (0.1M),1.83,98.079,2.75,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 3:1 (v:v),C1CCOC1,75,0.46,0,0,7.60295,2.5123,0.4997,0.58545,25,170,30,4.59,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 3:1 (v:v),C1CCOC1,75,0.46,0,0,7.60295,2.5123,0.4997,0.58545,25,170,60,4.59,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 1:1 (v:v),C1CCOC1,50,0.46,0,0,7.60295,2.5123,0.4997,0.58545,50,180,20,4.73,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 2:1 (v:v),C1CCOC1,63.7,0.46,0,0,7.60295,2.5123,0.4997,0.58545,36.3,180,20,4.63,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 3:1 (v:v),C1CCOC1,75,0.46,0,0,7.60295,2.5123,0.4997,0.58545,25,180,20,4.59,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 4:1 (v:v),C1CCOC1,80,0.46,0,0,7.60295,2.5123,0.4997,0.58545,20,180,20,4.56,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 5:1 (v:v),C1CCOC1,83.3,0.46,0,0,7.60295,2.5123,0.4997,0.58545,16.7,180,20,4.54,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 6:1 (v:v),C1CCOC1,85.7,0.46,0,0,7.60295,2.5123,0.4997,0.58545,14.3,180,20,4.59,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 7:1 (v:v),C1CCOC1,87.5,0.46,0,0,7.60295,2.5123,0.4997,0.58545,12.5,180,20,4.52,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 4:1 (v:v),C1CCOC1,80,0.46,0,0,7.60295,2.5123,0.4997,0.58545,20,180,20,4.56,FeCl3 (0.05M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 4:1 (v:v),C1CCOC1,80,0.46,0,0,7.60295,2.5123,0.4997,0.58545,20,180,20,4.59,FeCl3 (0.15M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 3:1 (v:v),C1CCOC1,75,0.46,0,0,7.60295,2.5123,0.4997,0.58545,25,180,15,4.59,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1021/acssuschemeng.8b01028,"Meng. et al, 2018",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45,22,14,THF:Water 3:1 (v:v),C1CCOC1,75,0.46,0,0,7.60295,2.5123,0.4997,0.58545,25,180,30,4.59,FeCl3 (0.1M),2.9,162.2,2,100,90
10.1039/d0gc00661k,"Meng et al, 2020",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45.4,23.3,15.8,Cyrene 4:1 v/v,C1CC(=O)C2OCC1O2,80,14.5,0,0.0532,9.2608,2.6056,2.3892,0.1849,20,120,60,6.6,H2SO4 75mM,1.83,98.079,2.75,75,69
10.1039/d0gc00661k,"Meng et al, 2020",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45.4,23.3,15.8,Cyrene 4:1 v/v,C1CC(=O)C2OCC1O2,80,14.5,0,0.0532,9.2608,2.6056,2.3892,0.1849,20,120,10,6.6,H2SO4 75mM,1.83,98.079,2.75,75,26
10.1039/d0gc00661k,"Meng et al, 2020",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45.4,23.3,15.8,Cyrene 1:1 v/v,C1CC(=O)C2OCC1O2,50,14.5,0,0.0532,9.2608,2.6056,2.3892,0.1849,50,120,60,6.6,H2SO4 75mM,1.83,98.079,2.75,75,49
10.1039/d0gc00661k,"Meng et al, 2020",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45.4,23.3,15.8,Cyrene 1:1 v/v,C1CC(=O)C2OCC1O2,50,14.5,0,0.0532,9.2608,2.6056,2.3892,0.1849,50,120,10,6.6,H2SO4 75mM,1.83,98.079,2.75,75,8
10.1039/d0gc00661k,"Meng et al, 2020",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45.4,23.3,15.8,Cyrene 1:2 v/v,C1CC(=O)C2OCC1O2,33.3,14.5,0,0.0532,9.2608,2.6056,2.3892,0.1849,66.7,120,60,6.6,H2SO4 75mM,1.83,98.079,2.75,75,31
10.1039/d0gc00661k,"Meng et al, 2020",Poplar (Populus trichocarpa x deltoides),Hardwood,24.26581958,45.4,23.3,15.8,Cyrene 1:2 v/v,C1CC(=O)C2OCC1O2,33.3,14.5,0,0.0532,9.2608,2.6056,2.3892,0.1849,66.7,120,10,6.6,H2SO4 75mM,1.83,98.079,2.75,75,5
10.21577/0103-5053.20180231,Rinaldi et al 2019,Poplar wood,Hardwood,24.26581958,52,30,17,2-Propanol:Water 7:3 v/v,CC(O)C,70,2.052,0.2163,0.45415,5.55425,3.3829,0.4926,0.6431,30,160,180,11.8,none,0,0,0,0,33
10.21577/0103-5053.20180231,Rinaldi et al 2019,Poplar wood,Hardwood,24.26581958,52,30,17,2-Propanol:Water 7:3 v/v,CC(O)C,70,2.052,0.2163,0.45415,5.55425,3.3829,0.4926,0.6431,30,180,180,11.8,none,0,0,0,0,77
10.21577/0103-5053.20180231,Rinaldi et al 2019,Poplar wood,Hardwood,24.26581958,52,30,17,2-Propanol:Water 7:3 v/v,CC(O)C,70,2.052,0.2163,0.45415,5.55425,3.3829,0.4926,0.6431,30,200,180,11.8,none,0,0,0,0,73
10.21577/0103-5053.20180231,Rinaldi et al 2019,Poplar wood,Hardwood,24.26581958,52,30,17,2-Propanol:Water 7:3 v/v,CC(O)C,70,2.052,0.2163,0.45415,5.55425,3.3829,0.4926,0.6431,30,220,180,11.8,none,0,0,0,0,77
10.3389/fenrg.2020.00149,Wang et al,Poplar,Hardwood,24.26581958,48.9,21.2,13,THF:Water 1:1 w/w,C1CCOC1,55.3,0.46,0,0,7.60295,2.5123,0.4997,0.58545,44.7,150,15,7.09,H2SO4 0.25% w/w,1.83,98.079,2.75,25,65.5
10.3389/fenrg.2020.00149,Wang et al,Poplar,Hardwood,24.26581958,48.9,21.2,13,THF:Water 1:1 w/w,C1CCOC1,55.3,0.46,0,0,7.60295,2.5123,0.4997,0.58545,44.7,150,15,7.09,H2SO4 0.5% w/w,1.83,98.079,2.75,50,69
10.3389/fenrg.2020.00149,Wang et al,Poplar,Hardwood,24.26581958,48.9,21.2,13,THF:Water 1:1 w/w,C1CCOC1,55.3,0.46,0,0,7.60295,2.5123,0.4997,0.58545,44.7,160,15,7.09,H2SO4 0.5% w/w,1.83,98.079,2.75,50,75.5
10.3389/fenrg.2020.00149,Wang et al,Poplar,Hardwood,24.26581958,48.9,21.2,13,THF:Water 1:1 w/w,C1CCOC1,55.3,0.46,0,0,7.60295,2.5123,0.4997,0.58545,44.7,180,15,7.09,H2SO4 0.5% w/w,1.83,98.079,2.75,50,94.4
10.3389/fenrg.2020.00149,Wang et al,Poplar,Hardwood,24.26581958,48.9,21.2,13,THF:Water 1:1 w/w,C1CCOC1,55.3,0.46,0,0,7.60295,2.5123,0.4997,0.58545,44.7,180,30,7.09,H2SO4 1% w/w,1.83,98.079,2.75,100,100
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,Ethanol:Water 65:35 v/v,OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,HCl 30mM,1.49,36.46,1.1,30,39.3
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,Ethanol:Water 65:35 v/v,OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,HCl 40mM,1.49,36.46,1.1,40,59.66
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,Ethanol:Water 65:35 v/v,OCC,65,1.04,0.2443,0.4475,4.58455,2.39255,0.4979,0.652,35,170,60,14.29,HCl 50mM,1.49,36.46,1.1,50,66.51
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-Butanediol:Water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,none,0,0,0,0,22.2
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-Butanediol:Water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,HCl 10mM,1.49,36.46,1.1,10,41.95
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-Butanediol:Water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,HCl 20mM,1.49,36.46,1.1,20,63.92
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-Butanediol:Water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,HCl 30mM,1.49,36.46,1.1,30,72.34
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-Butanediol:Water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,HCl 40mM,1.49,36.46,1.1,40,82.04
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-Butanediol:Water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,HCl 50mM,1.49,36.46,1.1,50,90
10.1186/s13068-023-02303-5,Xie et al 2023,Poplar,Hardwood,24.26581958,46.38,29.03,20.5,"1,4-Butanediol:Water 65:35 v/v",OCCCCO,65,65,0.38115,0.3562,7.72015,2.8162,0.75415,1.02155,35,170,60,14.29,NaOH 250mM,2.13,39.997,13,250,50.2
